precision,workload_type,workload_function,dims,iterations
bf16,conv,conv2d,"(1, 32, 32, 16, 16, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 32, 32, 64, 64, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 32, 32, 64, 64, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 32, 32, 256, 256, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 32, 32, 256, 256, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 128, 32, 4, 4, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 128, 32, 4, 4, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 128, 32, 4, 4, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 128, 32, 4, 4, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 128, 32, 16, 16, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 128, 32, 64, 64, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 128, 32, 256, 256, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 512, 32, 4, 4, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 32, 4, 4, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 32, 4, 4, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 32, 4, 4, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 512, 32, 16, 16, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 512, 32, 64, 64, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 512, 32, 256, 256, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 128, 128, 4, 4, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 128, 128, 4, 4, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 128, 128, 4, 4, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 128, 128, 4, 4, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 128, 128, 16, 16, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 128, 128, 64, 64, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 128, 128, 256, 256, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 512, 128, 4, 4, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 128, 4, 4, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 128, 4, 4, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 128, 4, 4, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 512, 128, 16, 16, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 512, 128, 64, 64, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 512, 128, 256, 256, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 512, 512, 4, 4, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 512, 4, 4, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(1, 512, 512, 4, 4, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 512, 4, 4, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 512, 512, 16, 16, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(1, 512, 512, 64, 64, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(1, 512, 512, 256, 256, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(4, 32, 1, 4, 4, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(4, 32, 1, 4, 4, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(4, 32, 1, 4, 4, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(4, 32, 1, 4, 4, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(4, 32, 1, 16, 16, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(4, 32, 1, 64, 64, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 13, 13, 1, 6)",-1
bf16,conv,conv2d,"(4, 32, 1, 256, 256, 13, 13, 2, 6)",-1
bf16,conv,conv2d,"(4, 128, 1, 4, 4, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(4, 128, 1, 4, 4, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(4, 128, 1, 256, 256, 1, 1, 1, 0)",-1
bf16,conv,conv2d,"(4, 128, 1, 256, 256, 1, 1, 2, 0)",-1
bf16,conv,conv2d,"(4, 128, 1, 4, 4, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(4, 128, 1, 4, 4, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(4, 128, 1, 256, 256, 3, 3, 1, 1)",-1
bf16,conv,conv2d,"(4, 128, 1, 256, 256, 3, 3, 2, 1)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(4, 128, 1, 256, 256, 5, 5, 1, 2)",-1
bf16,conv,conv2d,"(4, 128, 1, 256, 256, 5, 5, 2, 2)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(4, 128, 1, 256, 256, 7, 7, 1, 3)",-1
bf16,conv,conv2d,"(4, 128, 1, 256, 256, 7, 7, 2, 3)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(4, 128, 1, 256, 256, 9, 9, 1, 4)",-1
bf16,conv,conv2d,"(4, 128, 1, 256, 256, 9, 9, 2, 4)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 11, 11, 1, 5)",-1
bf16,conv,conv2d,"(4, 128, 1, 16, 16, 11, 11, 2, 5)",-1
bf16,conv,conv2d,"(4, 128, 1, 64, 64, 11, 11, 1, 5)",-1
